,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
14205,10.635065510058652,7975.0,-0.1186,8.589305208096429,5.7,625.0,9.4
14206,10.34,5832.0,-0.1403,10.3,14.21544580709314,762.0,8.6
14207,6.89,3052.0,0.0035,8.5,24.6,1778.0,4.0
14209,13.79,3070.4877791356516,-0.3491,8.589305208096429,4.7,318.0,5.7
14210,6.89,6971.0,-0.0514,10.3,10.3,794.0,3.8
14212,7.03,2000.0,-0.0193,15.0,120.0,10.0,4.8
14215,10.635065510058652,3201.0,0.0567,4.7,4.7,318.0,5.7
14217,1.01,1500.0,-0.0191,15.0,120.0,830.5649623727313,4.1
14218,13.79,1335.0,0.1344,9.5,9.5,1836.0,2.9
14220,13.79,1953.0,-0.0071,11.1,14.21544580709314,830.5649623727313,2.7
14221,4.16,3070.4877791356516,0.0233,12.7,42.3,1778.0,4.3
14222,6.89,3070.4877791356516,-0.022,10.3,10.3,762.0,5.3
14223,10.635065510058652,3070.4877791356516,-0.0465,8.589305208096429,10.0,1650.0,5.0
14224,12.0,3070.4877791356516,-0.0629,10.0,10.0,1000.0,5.2
14225,11.03,2693.0,0.1015,5.0,13.3,830.5649623727313,2.5
14226,15.51,2197.0,-0.0541,1.9,1.9,696.0,2.5
14227,6.89,385.0,0.1975,8.5,24.6,830.5649623727313,2.0
14229,0.1,3070.4877791356516,-0.0457,15.0,120.0,10.0,6.8
14230,13.79,4042.0,-0.0331,1.9,1.9,830.5649623727313,4.9
14231,6.96,4069.0,0.0418,5.6,5.6,432.0,4.9
14233,11.03,3677.0,0.0747,8.589305208096429,15.2,2134.0,0.9
14234,6.89,5520.0,-0.0037,8.589305208096429,38.1,914.0,5.5
14235,6.89,5547.0,-0.1099,10.3,10.3,762.0,5.9
14236,6.72,3852.0,-0.0801,10.8,10.8,432.0,3.5
14237,15.17,2680.0,0.0238,9.5,9.5,1836.0,2.2
14238,13.79,2007.0,-0.0443,11.1,14.21544580709314,457.0,2.2
14239,13.79,6429.0,-0.202,4.7,4.7,318.0,8.6
14240,16.0,3861.0,0.0515,10.0,10.0,520.0,2.9
14241,6.89,5859.0,-0.0254,10.3,10.3,762.0,5.0
14242,13.79,1356.0,0.1323,8.589305208096429,7.7,457.0,1.9
14244,15.51,3580.0,-0.0987,1.9,1.9,830.5649623727313,2.9
14247,18.96,2075.0,-0.0886,1.9,1.9,152.0,4.8
14248,10.635065510058652,1336.0,0.0344,1.0,1.0,38.0,9.3
14249,18.0,3070.4877791356516,-0.0929,8.589305208096429,10.0,520.0,0.9
14250,13.79,3757.0,0.0716,9.5,9.5,1836.0,1.4
14251,18.96,2075.0,-0.2049,1.9,1.9,152.0,10.6
14253,8.27,2730.0,0.0515,9.5,9.5,1836.0,1.8
14254,2.63,3070.4877791356516,-0.2874,3.0,3.0,150.0,4.5
14255,10.635065510058652,1533.0,-0.0123,7.8,7.8,591.0,2.8
14256,3.45,7893.0,0.0209,8.589305208096429,10.3,762.0,4.8
14257,6.86,4055.0,0.0533,5.6,5.6,432.0,5.2
14258,13.79,3580.0,0.0441,4.7,4.7,305.0,2.9
14259,10.635065510058652,956.0,-0.3469,7.7,7.7,457.0,5.0
14262,13.79,3070.4877791356516,-0.0544,4.7,4.7,830.5649623727313,3.8
14263,6.89,1533.0,0.1745,8.5,22.3,830.5649623727313,2.2
14265,6.89,3065.0,0.0382,8.589305208096429,11.3,1778.0,2.3
14266,16.0,4986.0,-0.1334,8.589305208096429,14.21544580709314,830.5649623727313,8.8
14267,6.89,833.0,0.1334,12.7,38.1,737.0,3.1
14268,6.89,833.0,0.0404,8.589305208096429,14.21544580709314,737.0,4.3
14269,13.79,2495.0,-0.0544,1.9,1.9,152.0,3.2
14270,13.79,4164.0,0.0487,4.7,4.7,830.5649623727313,3.6
14272,6.89,5859.0,-0.0027,8.589305208096429,10.3,762.0,5.4
14273,13.79,1221.0,0.1584,7.8,7.8,591.0,2.3
14274,0.64,5600.0,-0.0849,3.0,14.21544580709314,400.0,11.3
14275,6.89,1519.0,0.0497,4.6,11.3,1778.0,3.8
14276,13.79,1356.0,-0.3469,7.7,7.7,457.0,5.5
14277,15.51,2061.0,-0.0331,1.9,1.9,152.0,4.4
14278,10.635065510058652,3861.0,0.144,10.3,10.3,762.0,5.3
14280,13.79,3648.0,-0.0238,1.9,1.9,696.0,3.2
14281,10.34,7907.0,-0.034,4.7,14.21544580709314,318.0,3.0
14283,6.92,1519.0,0.0035,8.5,24.6,830.5649623727313,3.3
14285,6.89,5787.0,-0.0098,23.6,23.6,1972.0,5.0
14286,13.79,5533.0,0.0063,4.7,4.7,318.0,4.0
14288,13.79,1356.0,0.0639,5.0,13.3,2134.0,1.0
14290,15.51,3669.0,0.107,5.6,15.2,830.5649623727313,1.8
14292,10.635065510058652,4062.0,0.0043,10.8,10.8,864.0,4.2
14293,10.635065510058652,3146.0,-0.1981,1.9,1.9,152.0,5.3
14295,13.79,3906.0,0.0922,4.6,4.6,295.0,0.9
14296,13.79,1465.0,-0.4477,8.589305208096429,4.7,318.0,3.9
14297,10.635065510058652,1165.0,0.1204,12.7,42.3,830.5649623727313,2.0
14298,0.51,3070.4877791356516,-0.0413,15.0,120.0,830.5649623727313,4.9
14299,11.03,2034.0,0.0747,11.5,11.5,914.0,2.9
14301,6.83,3070.4877791356516,0.0858,10.8,10.8,1727.0,4.6
14302,6.86,1031.0,0.0281,10.8,10.8,216.0,3.9
14303,6.89,1356.0,0.1167,8.589305208096429,14.21544580709314,1953.0,2.3
14304,6.99,382.0,0.0113,22.2,14.21544580709314,1778.0,5.7
14306,13.79,3070.4877791356516,0.0496,7.8,7.8,591.0,2.0
14307,10.635065510058652,2428.0,-0.0522,1.9,1.9,152.0,4.8
14308,10.635065510058652,3811.0,0.1383,10.8,10.8,864.0,2.9
14309,15.51,1354.0,0.0202,5.6,15.2,2134.0,2.0
14310,12.0,4750.0,-0.0929,8.589305208096429,14.21544580709314,830.5649623727313,2.4
14311,6.89,5669.0,0.0275,6.4,14.21544580709314,914.0,2.5
14312,13.79,1695.0,0.0295,7.7,7.7,457.0,2.3
14313,9.65,3070.4877791356516,-0.0093,12.7,42.3,1778.0,3.1
14315,15.51,3677.0,0.1867,5.6,15.2,2134.0,1.0
14316,6.89,3960.0,-0.0322,10.3,10.3,762.0,4.9
14317,15.17,2680.0,0.0908,9.5,9.5,1836.0,1.8
14318,6.89,2699.0,-0.2364,1.9,1.9,152.0,5.0
14319,6.89,3811.0,0.0032,8.589305208096429,12.8,1930.0,4.2
14320,18.96,3070.4877791356516,-0.0296,1.9,1.9,152.0,3.5
14322,10.0,1944.0,-0.0867,10.0,10.0,565.0,4.1
14323,13.79,671.0,0.0334,7.7,7.7,457.0,2.6
14324,10.635065510058652,2278.0,0.0063,12.7,42.3,1778.0,3.8
14325,18.96,1885.0,-0.1977,8.589305208096429,1.9,152.0,3.9
14327,15.17,4059.0,0.1093,9.5,9.5,1836.0,3.8
14328,13.79,1354.0,-0.0394,5.6,15.2,2134.0,2.1
14329,13.79,1492.0,0.0981,8.589305208096429,7.8,591.0,2.2
14331,6.89,3648.0,0.1101,8.589305208096429,4.7,318.0,3.8
14332,13.79,1682.0,-0.1381,8.589305208096429,7.7,457.0,3.7
14334,10.34,3960.0,-0.1491,10.3,14.21544580709314,762.0,5.4
14338,9.65,5615.0,-0.1332,6.4,14.21544580709314,914.0,3.4
14339,15.51,671.0,-0.0185,8.589305208096429,14.21544580709314,2134.0,2.1
14340,13.79,3070.4877791356516,-0.0898,11.1,14.21544580709314,457.0,2.6
14341,13.79,1383.0,0.1512,9.5,9.5,1836.0,2.5
14342,13.79,2658.0,-0.0375,7.7,7.7,457.0,4.6
14343,9.61,5520.0,0.0624,12.7,14.21544580709314,830.5649623727313,3.8
14344,10.635065510058652,1944.0,0.1407,10.0,14.21544580709314,1300.0,1.3
14345,6.92,2278.0,0.1946,8.5,14.21544580709314,2743.0,2.1
14347,13.79,4069.0,0.1946,9.3,9.3,830.5649623727313,1.6
14349,10.34,1000.0,0.0051,10.3,10.3,762.0,3.2
14350,6.89,5425.0,-0.0263,10.3,10.3,794.0,5.9
14352,13.79,1356.0,0.0845,7.8,7.8,591.0,2.7
14353,6.89,759.0,0.0032,12.7,38.1,830.5649623727313,2.5
14354,3.45,3070.4877791356516,-0.0416,10.3,10.3,830.5649623727313,7.5
14355,13.79,1344.0,-0.1005,8.589305208096429,15.2,2134.0,2.1
14357,6.89,3070.4877791356516,0.0451,5.6,5.6,432.0,4.8
14358,0.1,3070.4877791356516,-0.0188,15.0,14.21544580709314,10.0,7.3
14359,3.86,3865.0,0.12,5.6,5.6,216.0,1.2
14360,13.79,1505.0,0.0675,7.8,7.8,830.5649623727313,3.4
14361,18.96,2848.0,-0.3657,3.0,3.0,150.0,1.8
14362,10.635065510058652,4042.0,-0.0329,10.3,10.3,762.0,4.2
14363,13.79,3070.4877791356516,-0.1272,7.7,14.21544580709314,830.5649623727313,3.5
14364,13.79,1397.0,-0.3246,4.7,4.7,318.0,4.5
14366,10.635065510058652,2729.0,-0.0279,5.6,14.21544580709314,2134.0,2.2
14367,13.79,2007.0,0.0146,7.7,7.7,457.0,2.1
14368,6.92,5547.0,0.0054,12.7,38.1,830.5649623727313,3.2
14369,13.79,2726.0,0.0908,8.589305208096429,14.21544580709314,2134.0,2.3
14371,10.635065510058652,3070.4877791356516,-0.074,1.9,1.9,696.0,2.2
14372,3.45,5900.0,0.14,10.3,10.3,830.5649623727313,1.6
14373,10.635065510058652,1360.0,0.0886,8.589305208096429,15.2,2134.0,1.4
14377,13.79,2680.0,0.0537,8.589305208096429,9.5,1836.0,1.8
14378,12.07,2455.0,-0.0148,1.9,14.21544580709314,152.0,4.1
14380,12.38,542.0,-0.1331,19.8,19.8,457.0,3.5
14381,14.0,3056.0,0.08,10.0,10.0,890.0,2.3
14382,6.89,1519.0,0.0245,12.7,42.3,1778.0,3.9
14385,10.635065510058652,815.0,0.0403,12.7,38.1,737.0,3.3
14386,6.85,2319.0,0.0085,12.7,38.1,914.0,3.1
14387,15.51,3721.0,-0.0279,5.6,14.21544580709314,2134.0,7.1
14388,13.79,3070.4877791356516,-0.0101,11.1,11.1,457.0,2.0
14389,10.635065510058652,4069.0,0.1004,10.8,10.8,864.0,2.4
14390,10.635065510058652,2712.0,0.0682,8.589305208096429,12.4,610.0,2.9
14393,14.0,1944.0,0.0103,10.0,10.0,830.5649623727313,3.2
14395,3.86,3580.0,0.137,5.6,14.21544580709314,432.0,2.6
14398,11.03,3070.4877791356516,-0.0703,11.5,11.5,1143.0,4.6
14400,6.86,3513.0,0.0801,10.8,10.8,432.0,3.6
14402,5.54,1519.0,0.0157,12.7,42.3,1778.0,3.5
14405,17.24,2251.0,-0.0708,1.9,1.9,152.0,4.9
14406,6.89,4286.0,-0.0283,8.589305208096429,10.3,794.0,5.9
14407,12.07,4042.0,-0.0203,1.9,1.9,152.0,19.3
14409,13.79,5262.0,0.0247,5.7,5.7,625.0,2.5
14410,11.03,4069.0,0.0783,11.5,11.5,1524.0,2.4
14411,6.79,1899.0,0.0145,10.8,14.21544580709314,432.0,3.5
14412,18.27,857.0,0.0334,3.0,14.21544580709314,150.0,2.7
14413,15.51,1994.0,0.0886,8.589305208096429,1.9,696.0,1.5
14417,4.13,1519.0,0.1088,12.7,42.3,1778.0,1.9
14418,11.03,2672.0,0.0839,11.5,11.5,1143.0,1.8
14419,10.635065510058652,4096.0,-0.0188,10.8,10.8,432.0,3.5
14420,13.79,5249.0,-0.0233,5.0,13.3,2134.0,5.2
14421,13.79,3070.4877791356516,0.1043,7.8,7.8,830.5649623727313,2.2
14422,13.79,1356.0,-0.0276,7.7,14.21544580709314,457.0,3.3
14423,13.79,3255.0,0.0863,8.589305208096429,4.7,318.0,2.0
14425,6.89,1519.0,0.1988,8.5,22.3,1829.0,2.2
14428,13.79,2089.0,0.0244,7.8,7.8,591.0,2.5
14430,13.79,1233.0,0.072,7.8,7.8,591.0,2.3
14431,6.89,3070.4877791356516,-0.0298,12.7,14.21544580709314,914.0,7.8
14434,3.45,3743.0,0.0241,10.3,10.3,762.0,5.3
14435,3.45,6400.0,0.0874,10.3,10.3,762.0,6.2
14437,7.05,3070.4877791356516,0.1402,10.8,14.21544580709314,1727.0,4.0
14438,6.89,4055.0,0.0179,10.8,10.8,864.0,4.0
14439,10.34,3960.0,-0.0557,10.3,10.3,762.0,5.5
14440,6.85,2807.0,0.0036,6.4,15.9,914.0,2.1
14441,12.07,3201.0,-0.1258,1.9,1.9,830.5649623727313,3.2
14442,13.79,4204.0,0.0406,4.7,4.7,830.5649623727313,3.2
14443,12.07,3296.0,-0.0579,1.9,1.9,830.5649623727313,3.8
14444,3.86,4136.0,0.0117,10.8,10.8,432.0,4.9
14446,11.03,3070.4877791356516,0.0472,5.6,14.21544580709314,2134.0,5.5
14449,13.79,2604.0,0.0238,7.7,7.7,457.0,1.9
14450,13.79,1465.0,0.1274,8.589305208096429,4.7,318.0,2.5
14452,3.86,4136.0,0.1272,10.8,10.8,432.0,3.8
14453,10.635065510058652,2679.0,0.0438,9.5,9.5,1836.0,2.7
14454,10.41,1383.0,0.1244,8.589305208096429,4.6,229.0,7.5
14456,10.635065510058652,3070.4877791356516,-0.0483,10.3,14.21544580709314,762.0,4.4
14458,13.79,1302.0,0.099,4.7,4.7,318.0,2.0
14460,11.03,1364.0,0.1926,8.589305208096429,15.2,2134.0,1.1
14462,6.89,4069.0,0.0196,10.8,10.8,432.0,4.9
14464,12.07,2373.0,-0.2057,1.9,1.9,152.0,4.1
14465,6.89,1682.0,-0.0692,5.6,5.6,432.0,6.2
14466,13.79,677.0,-0.1023,5.0,14.21544580709314,2134.0,2.1
14467,10.635065510058652,3070.4877791356516,0.0311,12.7,42.3,830.5649623727313,3.6
14469,10.635065510058652,3070.4877791356516,0.0477,4.6,4.6,295.0,3.6
14470,12.0,3070.4877791356516,-0.0187,10.0,14.21544580709314,1000.0,3.1
14472,13.79,2089.0,0.0334,11.1,11.1,457.0,2.7
14475,10.635065510058652,1000.0,-0.0191,15.0,14.21544580709314,830.5649623727313,5.1
14480,13.79,2278.0,-0.0375,7.7,7.7,457.0,3.6
14481,12.41,542.0,0.0603,19.8,14.21544580709314,610.0,1.5
14482,6.86,4062.0,0.0049,10.8,10.8,864.0,4.2
14483,11.03,2710.0,0.0886,8.589305208096429,14.21544580709314,2134.0,1.6
14486,13.79,340.0,0.0648,11.1,11.1,457.0,2.3
14488,6.89,4083.0,0.0522,5.6,5.6,432.0,1.8
14490,13.79,1872.0,-0.1823,4.7,14.21544580709314,318.0,4.9
14491,17.24,2889.0,-0.0443,1.9,14.21544580709314,152.0,4.6
14493,13.79,2455.0,-0.0518,1.9,1.9,152.0,6.8
14494,13.79,3070.4877791356516,0.0484,7.7,7.7,830.5649623727313,2.3
14495,15.17,4052.0,0.0375,9.5,9.5,1836.0,2.4
14498,15.17,2676.0,0.1512,9.5,9.5,1836.0,1.6
14499,10.635065510058652,3811.0,-0.0415,1.9,1.9,696.0,3.8
14501,6.89,3070.4877791356516,-0.0229,10.3,10.3,762.0,4.9
14502,9.65,5601.0,-0.0249,6.4,15.9,914.0,3.6
14504,13.79,1221.0,0.1275,7.7,7.7,457.0,1.9
14505,13.79,3070.4877791356516,0.0279,1.9,1.9,696.0,2.7
14506,13.79,2730.0,-0.0719,5.6,15.2,2134.0,2.6
14507,13.79,7391.0,-0.4486,4.7,4.7,318.0,5.2
14508,13.79,1063.0,0.0183,4.7,4.7,318.0,2.8
14512,8.27,3670.0,0.0229,5.6,15.2,830.5649623727313,1.1
14513,1.01,1000.0,0.0601,15.0,120.0,10.0,4.1
14514,3.45,3070.4877791356516,0.0649,5.7,5.7,830.5649623727313,1.8
14516,10.34,4842.0,-0.0134,10.3,10.3,10.0,6.8
14517,15.51,3070.4877791356516,-0.0443,1.9,1.9,696.0,2.9
14518,6.83,1017.0,0.0101,10.8,10.8,216.0,4.4
14519,12.07,4082.0,-0.0202,1.9,1.9,830.5649623727313,2.9
14520,15.17,2773.0,0.099,9.5,9.5,1836.0,2.4
14521,18.27,2740.0,-0.2631,8.589305208096429,3.0,150.0,1.2
14523,13.79,926.0,0.1698,7.7,7.7,830.5649623727313,1.9
14526,15.51,3635.0,-0.0517,1.9,1.9,152.0,3.6
14527,13.79,3070.4877791356516,0.0901,8.589305208096429,14.21544580709314,2134.0,2.2
14528,14.0,3070.4877791356516,0.0613,10.0,10.0,520.0,3.6
14529,10.635065510058652,7391.0,-0.3206,8.589305208096429,4.7,318.0,3.6
14531,6.91,2767.0,-0.0091,12.7,38.1,914.0,4.3
14532,6.89,3070.4877791356516,0.1167,12.7,42.3,2711.0,2.0
14533,3.45,3811.0,0.0209,10.3,10.3,830.5649623727313,4.3
14535,13.79,2658.0,0.064,7.7,7.7,457.0,2.3
14537,6.89,1343.0,-0.0299,37.5,37.5,830.5649623727313,4.4
14538,13.79,2007.0,0.064,7.7,7.7,830.5649623727313,2.9
14539,10.635065510058652,2997.0,-0.0202,8.589305208096429,1.9,152.0,5.7
14540,10.635065510058652,4069.0,0.0627,11.5,11.5,2007.0,2.9
14542,6.89,949.0,0.1388,23.6,23.6,610.0,2.0
14543,18.96,2048.0,-0.1943,1.9,1.9,152.0,4.6
14544,13.79,4096.0,-0.3209,4.7,4.7,318.0,4.0
14546,10.635065510058652,578.0,-0.4505,4.7,4.7,318.0,9.3
14547,3.45,3811.0,-0.0416,10.3,10.3,762.0,4.6
14548,6.89,5696.0,-0.0492,8.589305208096429,14.21544580709314,794.0,4.9
14550,13.79,2730.0,0.0224,5.6,15.2,2134.0,1.9
14553,12.07,6062.0,-0.0918,1.9,1.9,152.0,7.7
14555,11.03,3701.0,0.061,5.6,15.2,2134.0,1.8
14556,13.79,673.0,-0.0109,11.1,11.1,457.0,3.5
14557,15.17,2699.0,0.0102,9.5,9.5,1836.0,4.5
14558,10.635065510058652,3070.4877791356516,0.0092,12.7,42.3,830.5649623727313,3.5
14559,7.03,4042.0,0.0003,8.589305208096429,10.8,864.0,4.3
14561,10.635065510058652,3070.4877791356516,-0.1235,8.589305208096429,10.3,762.0,3.8
14562,6.92,3038.0,0.033,8.5,24.6,1778.0,2.4
14564,8.27,3070.4877791356516,0.0392,9.5,14.21544580709314,1836.0,2.8
14565,10.34,7893.0,-0.0415,10.3,10.3,762.0,3.2
14566,13.79,3070.4877791356516,-0.0276,7.7,7.7,457.0,5.9
14568,12.07,4042.0,-0.0364,8.589305208096429,1.9,152.0,4.5
14569,13.79,3391.0,0.0334,4.7,4.7,830.5649623727313,2.8
14570,6.89,1519.0,0.0233,8.589305208096429,14.21544580709314,2743.0,2.7
14571,13.79,5249.0,-0.1355,8.589305208096429,4.7,625.0,3.6
14572,13.79,3070.4877791356516,0.0808,4.7,4.7,318.0,2.1
14574,11.0,3391.0,0.0639,11.5,11.5,1143.0,6.3
14576,13.79,3070.4877791356516,0.0146,5.7,5.7,625.0,1.0
14578,13.79,5696.0,-0.0172,4.7,4.7,318.0,3.9
14579,13.79,6144.0,-0.0102,4.7,4.7,830.5649623727313,9.1
14580,11.03,4069.0,0.0396,9.3,14.21544580709314,762.0,5.5
14581,11.03,2712.0,0.0886,11.5,11.5,830.5649623727313,2.5
14583,13.79,732.0,0.0372,7.8,7.8,591.0,2.5
14584,13.79,7025.0,-0.0203,4.7,4.7,318.0,8.0
14585,3.76,2767.0,0.086,4.6,4.6,229.0,3.3
14587,6.89,1519.0,0.1998,8.5,22.3,2743.0,3.2
14588,6.89,1519.0,0.1212,8.5,22.3,1829.0,2.1
14591,6.89,3757.0,0.0051,10.3,10.3,830.5649623727313,3.8
14592,3.45,3825.0,0.1402,8.589305208096429,14.21544580709314,762.0,5.4
14593,6.92,1519.0,0.0106,8.5,14.21544580709314,1778.0,2.3
14594,17.24,2848.0,-0.0134,1.9,1.9,152.0,5.5
14596,6.89,6971.0,-0.1479,23.6,23.6,1972.0,7.5
14597,6.99,734.0,0.0109,8.589305208096429,42.3,1778.0,4.1
14598,6.89,1533.0,0.2085,8.5,22.3,2743.0,2.0
14599,13.79,3070.4877791356516,-0.0218,4.7,4.7,305.0,5.2
14600,13.79,4136.0,0.0787,8.589305208096429,4.6,830.5649623727313,1.8
14601,10.635065510058652,2712.0,0.0481,5.6,14.21544580709314,830.5649623727313,2.1
14603,18.27,833.0,-0.1005,3.0,3.0,150.0,2.3
14605,10.34,7351.0,-0.1227,8.589305208096429,10.3,762.0,5.0
14606,6.89,5696.0,-0.0269,10.3,10.3,794.0,5.9
14610,9.51,1519.0,-0.025,12.7,42.3,830.5649623727313,3.1
14611,13.79,852.0,0.0102,4.7,14.21544580709314,318.0,4.6
14612,13.79,3418.0,0.0943,4.7,4.7,305.0,2.8
14613,13.79,5262.0,0.0518,8.589305208096429,5.7,830.5649623727313,1.8
14614,0.1,1277.0,-0.0187,15.0,120.0,10.0,8.9
14615,13.79,2034.0,0.0479,7.7,7.7,457.0,2.7
14616,10.635065510058652,1343.0,0.0628,7.7,7.7,457.0,1.9
14618,6.86,4056.0,0.0113,10.8,10.8,864.0,2.6
14620,11.03,4055.0,0.0497,11.5,11.5,1143.0,2.4
14621,15.51,3024.0,-0.0849,1.9,1.9,696.0,1.9
14622,13.79,888.0,0.0129,7.8,7.8,591.0,2.0
14623,18.96,2075.0,-0.1334,1.9,14.21544580709314,152.0,3.5
14625,15.51,2875.0,-0.0601,1.9,1.9,152.0,5.0
14627,6.86,1519.0,0.0611,5.6,15.2,2743.0,2.6
14628,15.51,3673.0,0.0537,8.589305208096429,15.2,2134.0,2.8
14632,10.635065510058652,1344.0,-0.0446,11.1,14.21544580709314,457.0,2.9
14634,6.79,1031.0,0.1422,10.8,10.8,432.0,4.4
14635,6.89,5588.0,0.0536,6.4,15.9,914.0,2.5
14636,17.24,3852.0,-0.1208,1.9,1.9,830.5649623727313,2.9
14641,17.24,3743.0,-0.0442,1.9,1.9,152.0,4.5
14642,0.2,2000.0,-0.0134,15.0,120.0,10.0,9.0
14645,12.07,3648.0,-0.0246,1.9,1.9,830.5649623727313,3.2
14648,13.79,3070.4877791356516,0.0985,7.8,7.8,591.0,2.2
14652,8.27,1356.0,0.1282,5.6,15.2,2134.0,3.2
14653,6.89,3070.4877791356516,-0.0338,8.589305208096429,10.3,762.0,4.5
14654,13.79,7907.0,-0.1756,7.7,7.7,830.5649623727313,7.7
14655,13.79,963.0,0.1524,7.7,7.7,457.0,1.4
14656,0.1,1352.0,-0.0187,15.0,120.0,10.0,5.4
14657,6.79,1763.0,0.0196,10.8,10.8,432.0,1.7
14658,6.89,4069.0,0.0192,10.8,10.8,864.0,4.6
14659,10.635065510058652,3852.0,-0.0682,8.589305208096429,10.3,762.0,4.9
14661,6.83,4096.0,-0.0415,10.8,10.8,432.0,4.5
14663,13.79,1356.0,-0.2383,11.1,14.21544580709314,457.0,3.5
14664,8.89,4069.0,0.0769,11.5,11.5,1524.0,4.3
14665,11.03,4069.0,0.0498,8.589305208096429,9.3,830.5649623727313,4.3
14666,13.79,956.0,0.0196,7.7,7.7,457.0,2.5
14667,10.635065510058652,1356.0,0.0384,7.7,7.7,830.5649623727313,2.8
14668,10.635065510058652,1912.0,0.0383,37.5,37.5,1953.0,1.8
14670,13.79,5357.0,0.212,7.8,7.8,591.0,2.2
14671,6.89,5696.0,-0.0417,10.3,10.3,794.0,4.9
14672,10.635065510058652,3070.4877791356516,0.0022,8.589305208096429,38.1,737.0,3.6
14673,6.89,3811.0,-0.0622,37.5,14.21544580709314,1953.0,11.3
14674,3.86,3070.4877791356516,0.0434,10.8,10.8,432.0,5.8
14678,13.79,3119.0,-0.1221,1.9,1.9,152.0,2.8
14680,6.79,4096.0,-0.0975,10.8,10.8,432.0,6.7
14681,10.635065510058652,750.0,-0.068,8.589305208096429,14.21544580709314,1650.0,3.4
14684,13.79,2042.0,0.0537,9.5,9.5,1836.0,3.9
14685,12.0,3070.4877791356516,0.08,10.0,10.0,830.5649623727313,1.8
14686,10.34,4855.0,-0.1258,10.3,10.3,762.0,6.0
14687,13.79,1290.0,-0.2599,7.7,7.7,457.0,4.5
14688,6.89,4056.0,0.0206,5.6,5.6,830.5649623727313,2.6
14689,3.45,5249.0,-0.0593,5.7,5.7,625.0,5.2
14690,13.79,678.0,-0.1381,7.7,14.21544580709314,457.0,7.1
14691,10.0,1944.0,-0.03,8.589305208096429,14.21544580709314,890.0,4.2
14692,13.79,689.0,0.0196,11.1,11.1,457.0,1.0
14693,3.9,4986.0,-0.0595,10.8,10.8,432.0,7.1
14694,0.2,1500.0,-0.0193,15.0,120.0,10.0,5.8
14696,3.83,3811.0,0.0332,10.8,10.8,864.0,4.5
14697,13.79,1668.0,0.0484,7.7,7.7,457.0,1.3
14698,6.89,6551.0,-0.1334,3.6,14.21544580709314,150.0,3.5
14699,15.51,2326.0,-0.0101,1.9,1.9,152.0,2.1
14700,6.86,1899.0,0.1933,10.8,10.8,432.0,3.6
14701,8.27,1364.0,0.1326,5.6,15.2,2134.0,1.2
14702,11.03,1356.0,0.1698,5.6,15.2,2134.0,1.9
14703,13.79,3458.0,-0.0541,4.7,4.7,318.0,6.7
14706,3.86,3070.4877791356516,0.099,8.589305208096429,14.21544580709314,830.5649623727313,1.8
14710,6.89,4055.0,0.0461,5.6,5.6,432.0,4.3
14711,15.17,2680.0,0.2073,8.589305208096429,9.5,1836.0,1.6
14712,3.9,4136.0,0.1282,5.6,5.6,216.0,5.8
14714,13.79,1356.0,0.0229,7.7,7.7,457.0,1.8
14715,10.635065510058652,5967.0,-0.1179,10.3,10.3,762.0,6.0
14717,13.79,6998.0,-0.1702,7.7,7.7,457.0,7.8
14718,11.0,3391.0,-0.0415,11.5,11.5,914.0,11.5
14720,11.03,1358.0,0.0202,8.589305208096429,15.2,2134.0,1.7
14725,11.03,4069.0,0.0902,11.5,11.5,1143.0,2.4
14726,10.635065510058652,1397.0,-0.1208,7.7,7.7,457.0,2.7
14727,13.79,2618.0,0.0334,7.7,7.7,457.0,2.0
14728,17.24,2007.0,-0.074,1.9,14.21544580709314,152.0,1.9
14729,13.79,6157.0,-0.0202,7.7,7.7,457.0,6.0
14730,10.0,1944.0,0.0102,10.0,10.0,400.0,4.2
14732,12.07,3070.4877791356516,-0.0564,1.9,1.9,152.0,4.6
14734,6.89,5384.0,-0.1918,23.6,23.6,610.0,4.9
14737,3.72,4136.0,0.1388,8.589305208096429,10.8,432.0,2.0
14738,17.24,2319.0,-0.0574,1.9,1.9,830.5649623727313,3.9
14740,13.79,1233.0,0.0244,7.8,7.8,591.0,2.6
14742,10.635065510058652,1926.0,0.1136,23.6,23.6,1972.0,2.7
14743,6.89,957.0,-0.0123,23.6,23.6,610.0,4.3
14744,6.89,678.0,-0.0757,37.5,37.5,830.5649623727313,6.5
14746,10.635065510058652,2691.0,0.1512,9.5,9.5,830.5649623727313,1.0
14747,3.86,4069.0,-0.0668,5.6,5.6,432.0,7.8
14748,10.0,1000.0,-0.0472,8.589305208096429,10.0,565.0,4.1
14749,10.34,3947.0,-0.0653,10.3,10.3,762.0,5.4
14750,6.86,4069.0,0.0069,10.8,10.8,830.5649623727313,4.6
14752,6.89,4774.0,-0.0263,8.589305208096429,10.3,762.0,5.7
14755,10.635065510058652,759.0,-0.001,8.589305208096429,7.8,591.0,10.4
14761,18.96,2034.0,-0.1438,1.9,1.9,152.0,1.9
14762,10.34,6035.0,-0.1227,10.3,10.3,762.0,6.2
14763,11.03,3391.0,0.0576,11.5,11.5,914.0,2.3
14764,10.635065510058652,1046.0,0.0372,7.8,7.8,830.5649623727313,3.9
14765,6.89,4001.0,-0.0091,10.3,10.3,762.0,4.7
